#id;itemSlot;itemType;name;description;recipeMale;recipeFemale;prefabId;positionMale;positionFemale;rotationMale;rotationFemale;scaleMale;scaleFemale;stackable;tradable;stamina;strength;dexterity;intelect
1;HEAD;EQUIP;Mage Hat;This is a helmet;HatWitchColorfulM_Recipe;HatWitchColorfulF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
2;CHEST;EQUIP;Mage Robe;This is a chestpiece;RobeMageSashBlueM_Recipe;RobeMageSashBlueF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
5;FEET;EQUIP;Mage Buckled Boots;These are boots and shoes;BootsBuckledM_Recipe;BootsBuckledF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
7;CHEST;EQUIP;Waitress Dress;This is a chestpiece;DressGreyApronM_Recipe;DressGreyApronF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
10;FEET;EQUIP;Elegant Dress Shoes;These are boots and shoes;ShoesSideOverlaySturdyM_Recipe;ShoesSideOverlaySturdyF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
11;HEAD;EQUIP;Elegant Black Hat;This is a helmet;HatZylinderBlackM_Recipe;HatZylinderBlackF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
12;CHEST;EQUIP;Elegant White Shirt;This is a chestpiece;ShirtButtonDownWhiteM_Recipe;ShirtButtonDownWhiteF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
13;HANDS;EQUIP;Elegant White Gloves;These are gloves;GlovesLinenWhiteM_Recipe;GlovesLinenWhiteF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
14;LEGS;EQUIP;Elegant Kickerbockers;These are pants;KnickerbockerBlackM_Recipe;KnickerbockerBlackF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
15;FEET;EQUIP;Elegant Dress Shoes;These are boots and shoes;SchoesLaceUpBlackM_Recipe;SchoesLaceUpBlackF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
17;CHEST;EQUIP;Patched Fabric Shirt;This is a chestpiece;ShirtLacedLinenM_Recipe;ShirtLacedLinenF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
18;HANDS;EQUIP;Patched Fabric Gloves;These are gloves;GlovesLinenM_Recipe;GlovesLinenF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
19;LEGS;EQUIP;Patched Fabric Leggings;These are pants;TrousersBeltPatchedM_Recipe;TrousersBeltPatchedF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
20;FEET;EQUIP;Patched Fabric Shoes;These are boots and shoes;ShoesSideOverlaySturdyM_Recipe;ShoesSideOverlaySturdyF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
21;HEAD;EQUIP;Dark Armor Helmet;This is a helmet;HelmetRoundDarkNeckNoseM_Recipe;HelmetRoundDarkNeckNoseF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
22;CHEST;EQUIP;Dark Armor Chestplate;This is a chestpiece;GambesonMaxDarkM_Recipe;GambesonMaxDarkF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
23;HANDS;EQUIP;Dark Armor Gauntlets;These are gloves;GlovesLongDarkArmorM_Recipe;GlovesLongDarkArmorF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
24;LEGS;EQUIP;Dark Armor Grieves;These are pants;LegArmorDarkM_Recipe;LegArmorDarkF_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
