#id;name;race;height;belly;hairType;hairColor;skinColor;eyeColor;headItem;chestItem;handsItem;legsItem;feetItem;rightHandItem;leftHandItem;maxHp;targetable
1;Fenris;0;0.5;0.5;3;15150895;15847869;15150895;21;22;23;24;25;0;0;100;TRUE
2;Rosa;1;0.5;0.5;3;15150895;15847869;15150895;0;22;23;24;25;0;0;100;TRUE
3;Wereman;2;0.5;0.5;3;0;0;0;0;0;0;0;0;0;0;100;TRUE
4;Mage Male;0;0.9;0.9;3;2695723;15847869;2695723;1;2;0;0;5;0;0;100;TRUE
5;Mage Female;1;0.9;0.9;0;2695723;15847869;2695723;1;2;0;0;5;0;0;100;TRUE
6;Waitress Male;0;0.9;0.9;3;2695723;15847869;2695723;0;7;0;0;0;0;0;100;TRUE
7;Waitress Female;1;0.9;0.9;3;2695723;15847869;2695723;0;7;0;0;0;0;0;100;TRUE
8;Elegant Male;0;0.9;0.9;3;2695723;15847869;2695723;11;12;13;14;15;0;0;100;TRUE
9;Elegant Female;1;0.9;0.9;3;2695723;15847869;2695723;11;12;13;14;15;0;0;100;TRUE
10;Patched Fabric Male;0;0.9;0.9;3;2695723;15847869;2695723;0;17;18;19;20;0;0;100;TRUE
11;Patched Fabric Female;1;0.9;0.9;3;2695723;15847869;2695723;0;17;18;19;20;0;0;100;TRUE
12;Dark Armor Male;0;0.9;0.9;3;2695723;15847869;2695723;21;22;23;24;25;0;0;100;TRUE
13;Dark Armor Female;1;0.9;0.9;3;2695723;15847869;2695723;21;22;23;24;25;0;0;100;TRUE
14;Monk Male;0;0.9;0.9;3;2695723;15847869;2695723;0;27;0;0;0;0;0;100;TRUE
15;Monk Female;1;0.9;0.9;3;2695723;15847869;2695723;0;27;0;0;0;0;0;100;TRUE
16;Nun Male;0;0.9;0.9;3;2695723;15847869;2695723;0;32;0;0;35;0;0;100;TRUE
17;Nun Female;1;0.9;0.9;3;2695723;15847869;2695723;0;32;0;0;35;0;0;100;TRUE
18;Chainmail Hauberk Male;0;0.9;0.9;3;2695723;15847869;2695723;36;37;38;39;40;0;0;100;TRUE
19;Chainmail Hauberk Female;1;0.9;0.9;3;2695723;15847869;2695723;36;37;38;39;40;0;0;100;TRUE
20;Simple Leather Male;0;0.9;0.9;3;2695723;15847869;2695723;41;42;43;44;45;0;0;100;TRUE
21;Simple Leather Female;1;0.9;0.9;0;2695723;15847869;2695723;41;42;43;44;45;0;0;100;TRUE
22;Simple Fabric Male;0;0.9;0.9;3;2695723;15847869;2695723;0;47;0;49;50;0;0;100;TRUE
23;Simple Fabric Female;1;0.9;0.9;3;2695723;15847869;2695723;0;47;0;49;50;0;0;100;TRUE
24;Miner Male;0;0.9;0.9;3;2695723;15847869;2695723;0;52;53;54;55;0;0;100;TRUE
25;Miner Female;1;0.9;0.9;3;2695723;15847869;2695723;0;52;53;54;55;0;0;100;TRUE
26;Druid Male;0;0.9;0.9;3;2695723;15847869;2695723;56;57;0;0;0;0;0;100;TRUE
27;Druid Female;1;0.9;0.9;3;2695723;15847869;2695723;56;57;0;0;0;0;0;100;TRUE
28;Simple Steel Male;0;0.9;0.9;3;2695723;15847869;2695723;61;62;63;64;65;0;0;100;TRUE
29;Simple Steel Female;1;0.9;0.9;3;2695723;15847869;2695723;61;62;63;64;65;0;0;100;TRUE
30;Advanced Leather Male;0;0.9;0.9;3;2695723;15847869;2695723;66;67;68;69;70;0;0;100;TRUE
31;Advanced Leather Female;1;0.9;0.9;3;2695723;15847869;2695723;66;67;68;69;70;0;0;100;TRUE
32;Parade Male;0;0.9;0.9;3;2695723;15847869;2695723;71;72;73;74;75;0;0;100;TRUE
33;Parade Female;1;0.9;0.9;3;2695723;15847869;2695723;71;72;73;74;75;0;0;100;TRUE
34;Leather Cloth Male;0;0.9;0.9;3;2695723;15847869;2695723;0;77;78;79;80;0;0;100;TRUE
35;Leather Cloth Female;1;0.9;0.9;2;2695723;15847869;2695723;0;77;78;79;80;0;0;100;TRUE
36;Smith Male;0;0.9;0.9;3;2695723;15847869;2695723;0;81;0;82;83;0;0;100;TRUE
37;Smith Female;1;0.9;0.9;3;2695723;15847869;2695723;0;81;0;82;83;0;0;100;TRUE
